index,Company,TypeName,Inches,ScreenResolution,Cpu,ram,Memory,memory_space,memory_type,extend_memory,gpu_brand,OpSys,gpu_name,Weight,price,extend_memory_type
0,Apple,Ultrabook,13.0,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8,"128GB SSD",128GB," SSD",NULL,Intel,macos," Iris Plus Graphics 640",1.37,71379,NULL
1,Apple,Ultrabook,13.0,1440x900,"Intel Core i5 1.8GHz",8,"128GB Flash Storage",128GB," Flash Storage",NULL,Intel,macos," HD Graphics 6000",1.34,47896,NULL
2,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,NA," HD Graphics 620",1.86,30636,NULL
3,Apple,Ultrabook,15.0,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz",16,"512GB SSD",512GB," SSD",NULL,AMD,macos," Radeon Pro 455",1.83,135195,NULL
4,Apple,Ultrabook,13.0,"IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,macos," Iris Plus Graphics 650",1.37,96096,NULL
5,Acer,Notebook,16.0,1366x768,"AMD A9-Series 9420 3GHz",4,"500GB HDD",500GB," HDD",NULL,AMD,windows," Radeon R5",2.1,21312,NULL
6,Apple,Ultrabook,15.0,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz",16,"256GB Flash Storage",256GB," Flash Storage",NULL,Intel,macos," Iris Pro Graphics",2.04,114018,NULL
7,Apple,Ultrabook,13.0,1440x900,"Intel Core i5 1.8GHz",8,"256GB Flash Storage",256GB," Flash Storage",NULL,Intel,macos," HD Graphics 6000",1.34,61736,NULL
8,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"512GB SSD",512GB," SSD",NULL,Nvidia,windows," GeForce MX150",1.3,79654,NULL
9,Acer,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.6,41026,NULL
10,HP,Notebook,16.0,1366x768,"Intel Core i5 7200U 2.5GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,NA," HD Graphics 620",1.86,20987,NULL
11,HP,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"500GB HDD",500GB," HDD",NULL,Intel,NA," HD Graphics 520",1.86,18381,NULL
12,Apple,Ultrabook,15.0,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz",16,"256GB SSD",256GB," SSD",NULL,AMD,macos," Radeon Pro 555",1.83,130002,NULL
13,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R5 M430",2.2,26581,NULL
14,Apple,Ultrabook,12.0,"IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,macos," HD Graphics 615",0.92,67261,NULL
15,Apple,Ultrabook,13.0,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz",8,"256GB SSD",256GB," SSD",NULL,Intel,macos," Iris Plus Graphics 640",1.37,80908,NULL
16,Dell,Notebook,16.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD",256GB," SSD",NULL,AMD,windows," Radeon R5 M430",2.2,39694,NULL
17,Apple,Ultrabook,15.0,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz",16,"512GB SSD",512GB," SSD",NULL,AMD,macos," Radeon Pro 560",1.83,152274,NULL
18,Lenovo,Notebook,16.0,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD",1TB," HDD",NULL,Nvidia,NA," GeForce 940MX",2.2,26587,NULL
19,Dell,Ultrabook,13.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD",128GB," SSD",NULL,Intel,windows," UHD Graphics 620",1.22,52161,NULL
